Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani ","LAD","DH",1.3200000524520874,659.709,5.949707529639239,8.897235417783076,10.068159884363343,4.482353610970724,9.563300752782157,38.960757195538534,8.834582257873738,48.795339453412275,"Shohei Ohtani","19755",660271
"Aaron Judge ","NYY","OF/DH",1.9500000476837158,637.851,5.869567627816371,9.163459482717805,7.044429247583912,-0.832142846850148,10.29628508297523,31.54159859424317,11.382452412293102,43.92405100653627,"Aaron Judge","15640",592450
"Bobby Witt Jr. ","KCR","SS",2.819999933242798,659.965,7.643756765404842,4.964253593148692,6.817385128865909,7.894405590438972,3.9244491538037685,31.244250231662182,10.666948205634506,42.91119843729669,"Bobby Witt Jr.","25764",677951
"Juan Soto ","NYM","OF",4.360000133514404,674.85,3.2459641817670026,5.507006240716448,7.324638047864156,1.8156650864153516,6.312077858335231,24.20535141509819,11.382452412293102,36.58780382739129,"Juan Soto","20123",665742
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.18000030517578,665.751,8.774752950936845,5.329741265370432,5.55869993290513,-1.4308794480404923,4.124396474753566,22.35671117592548,11.255791750430232,34.61250292635571,"Vladimir Guerrero Jr.","19611",665489
"Ronald Acuña Jr. ","ATL","OF",7.320000171661377,623.271,4.448497244474507,2.7555324938114008,6.2137732400154775,4.636807017379876,3.1846627678842596,21.23927276356552,11.382452412293102,33.62172517585862,"Ronald Acuna Jr.","18401",660670
"Julio Rodríguez ","SEA","OF",10.729999542236328,659.093,4.136956068026384,3.5187213059327576,5.114826877873515,4.510993737735104,2.913162366218879,20.194660355786638,11.382452412293102,32.57711276807974,"Julio Rodriguez","23697",677594
"José Ramírez ","CLE","3B/DH",6,649.533,3.380274123462054,2.9383802191996318,4.241926422479776,7.022533430739067,2.181407925624454,19.764522121504985,11.566005640439602,32.33052776194459,"Jose Ramirez","13510",608070
"Corbin Carroll ","ARI","OF",9.180000305175781,632.021,1.3404305864478174,2.3166509429816395,6.155299419312941,7.580550847865746,2.4620415887497202,19.854973385357866,11.382452412293102,32.237425797650964,"Corbin Carroll","25878",682998
"Fernando Tatis Jr. ","SDP","OF",15,647.719,3.7692047950151046,3.1312610515490533,5.776730827831398,3.838462405309811,3.264825075790398,19.780484155495767,11.382452412293102,32.16293656778886,"Fernando Tatis Jr.","19709",665487
